id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,10484,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19501025.0,19501025.0,False,,1,,,,2023-10-01T15:49:00.000Z,27137.410572136392,6356848523.955424,7.1651,0.04445789,0.27780255,2.11264184,5.08978533,-7.4580414,-12.79449504,529207322002.4961,48.7948,569885622014.86,,2023-10-01T15:49:00.000Z,,,,,,2023-10-01 21:21:08.316764
1027,Ethereum,ETH,ethereum,7468,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120238637.31376177,120238637.31376177,True,,2,,,,2023-10-01T15:49:00.000Z,1682.5003099343699,3240309112.821886,3.0639,0.04511976,-0.36678354,5.75920569,2.94826083,-8.64810271,-14.62747971,202301544546.49048,18.6533,202301544546.49,,2023-10-01T15:49:00.000Z,,,,,,2023-10-01 21:21:08.316764
825,Tether USDt,USDT,tether,63009,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83255047972.35954,86425711834.22702,True,,3,,,,2023-10-01T15:49:00.000Z,1.000072626126312,25058844050.48546,-18.554,-0.01905046,-0.01226499,-0.00723801,0.05124154,0.07251575,-0.04322135,83261094463.9897,7.677,86431988598.89,,2023-10-01T15:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-01 21:21:08.316764
1839,BNB,BNB,bnb,1652,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153846562.33197156,153846562.33197156,False,,4,,,,2023-10-01T15:49:00.000Z,215.56870214200717,282305470.83137345,9.9435,0.09460424,-0.34369731,2.33957014,0.94787488,-11.3178123,-13.47463017,33164503770.912518,3.0579,33164503770.91,,2023-10-01T15:49:00.000Z,,,,,,2023-10-01 21:21:08.316764
52,XRP,XRP,xrp,1103,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53312364216.0,99988397127.0,False,,5,,,,2023-10-01T15:49:00.000Z,0.5193845534231025,475961185.4449606,-44.7279,-0.00074988,0.34595629,1.93797628,3.47222841,-24.42929983,7.23682104,27689618480.25695,2.5531,51938455342.31,,2023-10-01T15:49:00.000Z,,,,,,2023-10-01 21:21:08.316764
3408,USDC,USDC,usd-coin,14274,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25120204580.520584,25120204580.520584,False,,6,,,,2023-10-01T15:49:00.000Z,0.9999880309971376,1446109950.0567539,-2.6617,-0.018234,-0.02452598,-0.00749604,0.0028366,0.00097558,-0.02951152,25119903916.720055,2.3161,25119903916.72,,2023-10-01T15:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-10-01 21:21:08.316764
5426,Solana,SOL,solana,534,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,412986209.98038495,558809106.088924,True,,7,,,,2023-10-01T15:49:00.000Z,23.108571151232486,499064576.953516,86.5066,-0.17366058,7.2358378,18.4668215,18.97457243,-0.93449979,19.59400297,9543521217.809565,0.88,12913279988.01,,2023-10-01T15:49:00.000Z,,,,,,2023-10-01 21:21:08.316764
2010,Cardano,ADA,cardano,941,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35134930689.785,36213906237.638,False,,8,,,,2023-10-01T15:49:00.000Z,0.2598751859988439,143912369.83773565,7.0264,-0.26206612,2.80458436,5.96250432,1.42967237,-14.3571993,-11.85589835,9130696648.064367,0.8419,11694383369.95,,2023-10-01T15:49:00.000Z,,,,,,2023-10-01 21:21:08.316764
74,Dogecoin,DOGE,dogecoin,802,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141233556383.7052,141233556383.7052,True,,9,,,,2023-10-01T15:49:00.000Z,0.06251308896451038,150793619.84383592,56.3866,-0.01974145,0.59398907,1.62835746,-1.57153678,-17.00773746,-8.2077078,8828945874.988756,0.8141,8828945874.99,,2023-10-01T15:49:00.000Z,,,,,,2023-10-01 21:21:08.316764
1958,TRON,TRX,tron,844,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89062489383.37857,89062533547.31523,True,,10,71659659264.0,6366079973.488989,,2023-10-01T15:49:00.000Z,0.08883770923380802,128261318.7919607,-15.3234,-0.01241489,0.12319544,5.64844348,16.57129681,15.95214481,14.50143767,7912107535.479699,0.7295,7912111458.9,,2023-10-01T15:49:00.000Z,,,,,,2023-10-01 21:21:08.316764
